locus_id	type	family	superfamily	chrom	start	end	strand	ltr_5_start	ltr_5_end	ltr_3_start	ltr_3_end	int_start	int_end	n_tools	edta	look4ltrs	soloLTRseeker
at_Gypsy_s0049	solo_LTR	Gypsy	Gypsy	2	4674292	4675499	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0050	solo_LTR	Gypsy	Gypsy	2	5032581	5033766	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0051	solo_LTR	Gypsy	Gypsy	2	5138595	5139791	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0052	solo_LTR	Gypsy	Gypsy	2	5187015	5188725	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0053	solo_LTR	Gypsy	Gypsy	2	5250080	5251885	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0054	solo_LTR	Gypsy	Gypsy	2	5277059	5278229	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0055	solo_LTR	Gypsy	Gypsy	2	5278287	5279897	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0056	solo_LTR	Gypsy	Gypsy	2	5498835	5500509	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0057	solo_LTR	Gypsy	Gypsy	2	5501965	5502481	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0058	solo_LTR	Gypsy	Gypsy	2	6176963	6178156	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0059	solo_LTR	Gypsy	Gypsy	2	6441617	6442987	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0060	solo_LTR	Gypsy	Gypsy	2	9484619	9485435	-	.	.	.	.	.	.	2	1	0	1
at_Copia_s0007	solo_LTR	Copia	Copia	2	9713532	9713904	-	.	.	.	.	.	.	2	1	0	1
at_Copia_s0008	solo_LTR	Copia	Copia	2	9807810	9808378	+	.	.	.	.	.	.	2	1	0	1
at_Copia_s0009	solo_LTR	Copia	Copia	2	10751135	10751484	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0061	solo_LTR	Gypsy	Gypsy	3	1607057	1607544	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0062	solo_LTR	Gypsy	Gypsy	3	11205164	11206299	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0063	solo_LTR	Gypsy	Gypsy	3	11376936	11378055	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0064	solo_LTR	Gypsy	Gypsy	3	11552039	11553785	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0065	solo_LTR	Gypsy	Gypsy	3	11723075	11724227	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0066	solo_LTR	Gypsy	Gypsy	3	11868683	11869879	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0067	solo_LTR	Gypsy	Gypsy	3	11937564	11939163	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0068	solo_LTR	Gypsy	Gypsy	3	12312886	12314639	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0069	solo_LTR	Gypsy	Gypsy	3	12383127	12383634	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0070	solo_LTR	Gypsy	Gypsy	3	12427713	12428853	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0071	solo_LTR	Gypsy	Gypsy	3	12684233	12684731	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0072	solo_LTR	Gypsy	Gypsy	3	12721977	12723758	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0073	solo_LTR	Gypsy	Gypsy	3	12766762	12768291	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0074	solo_LTR	Gypsy	Gypsy	3	13095800	13096961	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0075	solo_LTR	Gypsy	Gypsy	3	13114047	13115561	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0076	solo_LTR	Gypsy	Gypsy	3	13168135	13169292	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0077	solo_LTR	Gypsy	Gypsy	3	13378734	13380490	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0078	solo_LTR	Gypsy	Gypsy	3	13397647	13398863	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0079	solo_LTR	Gypsy	Gypsy	3	13403172	13404933	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0080	solo_LTR	Gypsy	Gypsy	3	13426798	13428003	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0081	solo_LTR	Gypsy	Gypsy	3	13657686	13659434	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0082	solo_LTR	Gypsy	Gypsy	3	14014730	14015925	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0083	solo_LTR	Gypsy	Gypsy	3	14114222	14115699	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0084	solo_LTR	Gypsy	Gypsy	3	14118216	14119427	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0085	solo_LTR	Gypsy	Gypsy	3	14140318	14141529	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0086	solo_LTR	Gypsy	Gypsy	3	14488958	14490185	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0087	solo_LTR	Gypsy	Gypsy	3	14808746	14809563	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0088	solo_LTR	Gypsy	Gypsy	3	14928074	14928564	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0089	solo_LTR	Gypsy	Gypsy	3	14985231	14986928	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0090	solo_LTR	Gypsy	Gypsy	3	15314815	15315966	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0091	solo_LTR	Gypsy	Gypsy	3	15317831	15318974	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0092	solo_LTR	Gypsy	Gypsy	3	15435043	15436149	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0093	solo_LTR	Gypsy	Gypsy	3	15476402	15477549	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0094	solo_LTR	Gypsy	Gypsy	3	15584679	15585468	-	.	.	.	.	.	.	2	1	0	1
at_Copia_s0010	solo_LTR	Copia	Copia	3	16293558	16294108	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0095	solo_LTR	Gypsy	Gypsy	3	16455894	16456383	+	.	.	.	.	.	.	2	1	0	1
at_Copia_s0011	solo_LTR	Copia	Copia	3	17984425	17984975	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0096	solo_LTR	Gypsy	Gypsy	4	1644088	1645246	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0097	solo_LTR	Gypsy	Gypsy	4	1668165	1669206	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0098	solo_LTR	Gypsy	Gypsy	4	1763889	1765657	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0099	solo_LTR	Gypsy	Gypsy	4	3112299	3113483	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0100	solo_LTR	Gypsy	Gypsy	4	3333168	3334350	-	.	.	.	.	.	.	2	1	0	1
at_Copia_s0012	solo_LTR	Copia	Copia	4	3370752	3371243	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0101	solo_LTR	Gypsy	Gypsy	4	3438415	3439212	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0102	solo_LTR	Gypsy	Gypsy	4	3475730	3476514	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0103	solo_LTR	Gypsy	Gypsy	4	4487760	4489418	-	.	.	.	.	.	.	2	1	0	1
at_Copia_s0013	solo_LTR	Copia	Copia	4	4750438	4750999	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0104	solo_LTR	Gypsy	Gypsy	4	5271738	5272894	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0105	solo_LTR	Gypsy	Gypsy	4	5429865	5430365	-	.	.	.	.	.	.	2	1	0	1
at_Copia_s0014	solo_LTR	Copia	Copia	4	7089372	7089884	+	.	.	.	.	.	.	2	1	0	1
at_Copia_s0015	solo_LTR	Copia	Copia	4	7426141	7426324	+	.	.	.	.	.	.	2	1	0	1
at_Copia_s0016	solo_LTR	Copia	Copia	4	8252354	8252520	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0106	solo_LTR	Gypsy	Gypsy	4	8946383	8946800	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0107	solo_LTR	Gypsy	Gypsy	5	3250366	3250737	+	.	.	.	.	.	.	2	1	0	1
at_Copia_s0017	solo_LTR	Copia	Copia	5	8081564	8081823	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0108	solo_LTR	Gypsy	Gypsy	5	8549545	8551167	-	.	.	.	.	.	.	2	1	0	1
at_Copia_s0018	solo_LTR	Copia	Copia	5	9872453	9872828	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0109	solo_LTR	Gypsy	Gypsy	5	10087608	10088749	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0110	solo_LTR	Gypsy	Gypsy	5	10253661	10255324	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0111	solo_LTR	Gypsy	Gypsy	5	11375647	11376849	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0112	solo_LTR	Gypsy	Gypsy	5	11413403	11415019	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0113	solo_LTR	Gypsy	Gypsy	5	11460338	11462096	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0114	solo_LTR	Gypsy	Gypsy	5	11782971	11784600	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0115	solo_LTR	Gypsy	Gypsy	5	11972875	11974096	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0116	solo_LTR	Gypsy	Gypsy	5	12321865	12323073	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0117	solo_LTR	Gypsy	Gypsy	5	12613462	12613976	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0118	solo_LTR	Gypsy	Gypsy	5	12930816	12932432	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0119	solo_LTR	Gypsy	Gypsy	5	12938628	12939146	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0120	solo_LTR	Gypsy	Gypsy	5	13802845	13804021	-	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0121	solo_LTR	Gypsy	Gypsy	5	13944140	13944644	+	.	.	.	.	.	.	2	1	0	1
at_Copia_s0019	solo_LTR	Copia	Copia	5	15291232	15291824	+	.	.	.	.	.	.	2	1	0	1
at_Copia_s0020	solo_LTR	Copia	Copia	5	16922320	16922476	+	.	.	.	.	.	.	2	1	0	1
at_Copia_s0021	solo_LTR	Copia	Copia	5	17134850	17135332	+	.	.	.	.	.	.	2	1	0	1
at_Gypsy_s0122	solo_LTR	Gypsy	Gypsy	5	20034029	20034895	-	.	.	.	.	.	.	2	1	0	1
at_Copia_i0001	intact_LTR_RT	Copia	Copia	1	3780765	3785720	+	3780765	3781204	3785281	3785720	3781205	3785280	2	1	0	1
at_unknown_i0001	intact_LTR_RT	unknown	unknown	1	4406006	4411120	+	4406006	4406167	4410959	4411120	4406168	4410958	2	1	0	1
at_Copia_i0002	intact_LTR_RT	Copia	Copia	1	7717356	7722547	+	7717356	7717795	7722108	7722547	7717796	7722107	2	1	0	1
at_Copia_i0003	intact_LTR_RT	Copia	Copia	1	9476002	9480634	+	9476002	9476121	9480515	9480634	9476122	9480514	2	1	0	1
at_Copia_i0004	intact_LTR_RT	Copia	Copia	1	10610329	10614183	+	10610329	10610484	10614028	10614183	10610485	10614027	2	1	0	1
at_Copia_i0005	intact_LTR_RT	Copia	Copia	1	11148091	11152835	-	11148091	11148386	11152540	11152835	11148387	11152539	2	1	0	1
at_Copia_i0006	intact_LTR_RT	Copia	Copia	1	11789452	11794077	+	11789452	11789722	11793807	11794077	11789723	11793806	2	1	0	1
at_Copia_i0007	intact_LTR_RT	Copia	Copia	1	12406711	12410000	+	12406711	12407249	12409463	12410000	12407250	12409462	2	1	0	1
at_Copia_i0008	intact_LTR_RT	Copia	Copia	1	12813589	12816476	+	12813589	12813919	12816155	12816476	12813920	12816154	2	1	0	1
at_Copia_i0009	intact_LTR_RT	Copia	Copia	1	13019157	13023945	-	13019157	13019304	13023798	13023945	13019305	13023797	2	1	0	1
at_Gypsy_i0001	intact_LTR_RT	Gypsy	Gypsy	1	13334466	13339870	+	13334466	13334860	13339479	13339870	13334861	13339478	2	1	0	1
at_Copia_i0010	intact_LTR_RT	Copia	Copia	1	13439445	13448523	+	13439445	13440013	13447956	13448523	13440014	13447955	2	1	0	1
at_Gypsy_i0002	intact_LTR_RT	Gypsy	Gypsy	1	13507780	13515964	-	13507780	13508922	13514817	13515964	13508923	13514816	2	1	0	1
at_Gypsy_i0003	intact_LTR_RT	Gypsy	Gypsy	1	13659273	13667557	+	13659273	13660427	13666401	13667557	13660428	13666400	2	1	0	1
at_Gypsy_i0004	intact_LTR_RT	Gypsy	Gypsy	1	13818567	13823888	+	13818567	13818942	13823513	13823888	13818943	13823512	2	1	0	1
at_Gypsy_i0005	intact_LTR_RT	Gypsy	Gypsy	1	13883073	13890962	+	13883073	13884230	13889807	13890962	13884231	13889806	2	1	0	1
at_Gypsy_i0006	intact_LTR_RT	Gypsy	Gypsy	1	14019278	14024518	+	14019278	14019563	14024233	14024518	14019564	14024232	2	1	0	1
at_Copia_i0011	intact_LTR_RT	Copia	Copia	1	14129671	14134851	-	14129671	14130169	14134366	14134851	14130170	14134365	2	1	0	1
at_Gypsy_i0007	intact_LTR_RT	Gypsy	Gypsy	1	14214747	14225656	-	14214747	14216422	14223980	14225656	14216423	14223979	2	1	0	1
at_Gypsy_i0008	intact_LTR_RT	Gypsy	Gypsy	1	14432223	14442952	+	14432223	14434027	14441124	14442952	14434028	14441123	2	1	0	1
at_Gypsy_i0009	intact_LTR_RT	Gypsy	Gypsy	1	15240543	15244711	+	15240543	15241375	15243898	15244711	15241376	15243897	2	1	0	1
at_Gypsy_i0010	intact_LTR_RT	Gypsy	Gypsy	1	15337662	15341830	+	15337662	15338494	15341017	15341830	15338495	15341016	2	1	0	1
at_Copia_i0012	intact_LTR_RT	Copia	Copia	1	16117829	16124076	+	16117829	16118379	16123526	16124076	16118380	16123525	2	1	0	1
at_Copia_i0013	intact_LTR_RT	Copia	Copia	1	16551721	16557069	-	16551721	16552120	16556671	16557069	16552121	16556670	2	1	0	1
at_Gypsy_i0011	intact_LTR_RT	Gypsy	Gypsy	1	16626036	16637234	-	16626036	16626555	16636715	16637234	16626556	16636714	2	1	0	1
at_Copia_i0014	intact_LTR_RT	Copia	Copia	1	16853318	16858040	-	16853318	16853448	16857910	16858040	16853449	16857909	2	1	0	1
at_1:17023916..17029257_i0001	intact_LTR_RT	1:17023916..17029257	Copia	1	17023916	17029257	-	17023916	17024415	17028758	17029257	17024416	17028757	2	1	0	1
at_Copia_i0015	intact_LTR_RT	Copia	Copia	1	17203926	17206318	+	17203926	17204265	17205979	17206318	17204266	17205978	2	1	0	1
at_Gypsy_i0012	intact_LTR_RT	Gypsy	Gypsy	1	17255285	17265289	+	17255285	17255698	17264875	17265289	17255699	17264874	2	1	0	1
at_Copia_i0016	intact_LTR_RT	Copia	Copia	1	17443081	17446790	+	17443081	17443232	17446639	17446790	17443233	17446638	2	1	0	1
at_Gypsy_i0013	intact_LTR_RT	Gypsy	Gypsy	1	17473527	17476671	+	17473527	17473884	17476314	17476671	17473885	17476313	2	1	0	1
at_Copia_i0017	intact_LTR_RT	Copia	Copia	1	17520597	17525126	+	17520597	17520758	17524965	17525126	17520759	17524964	2	1	0	1
at_unknown_i0002	intact_LTR_RT	unknown	unknown	1	17528667	17536138	+	17528667	17529195	17535610	17536138	17529196	17535609	2	1	0	1
at_Copia_i0018	intact_LTR_RT	Copia	Copia	1	17676607	17681382	-	17676607	17676901	17681094	17681382	17676902	17681093	2	1	0	1
at_Copia_i0019	intact_LTR_RT	Copia	Copia	1	18828527	18833280	+	18828527	18828827	18832980	18833280	18828828	18832979	2	1	0	1
at_Copia_i0020	intact_LTR_RT	Copia	Copia	1	21244324	21249198	-	21244324	21244458	21249064	21249198	21244459	21249063	2	1	0	1
at_Copia_i0021	intact_LTR_RT	Copia	Copia	1	21346162	21351041	-	21346162	21346346	21350857	21351041	21346347	21350856	2	1	0	1
at_Copia_i0022	intact_LTR_RT	Copia	Copia	1	21524995	21529850	-	21524995	21525434	21529415	21529850	21525435	21529414	2	1	0	1
at_Copia_i0023	intact_LTR_RT	Copia	Copia	1	22100644	22105329	-	22100644	22100754	22105219	22105329	22100755	22105218	2	1	0	1
at_Copia_i0024	intact_LTR_RT	Copia	Copia	1	26366607	26371668	+	26366607	26366810	26371465	26371668	26366811	26371464	2	1	0	1
at_Gypsy_i0014	intact_LTR_RT	Gypsy	Gypsy	2	16330	24007	-	16330	17647	22690	24007	17648	22689	2	1	0	1
at_unknown_i0003	intact_LTR_RT	unknown	unknown	2	31487	36441	+	31487	33507	34421	36441	33508	34420	2	1	0	1
at_Gypsy_i0015	intact_LTR_RT	Gypsy	Gypsy	2	42164	49787	-	42164	43450	48501	49787	43451	48500	2	1	0	1
at_unknown_i0004	intact_LTR_RT	unknown	unknown	2	909733	914338	+	909733	909895	914176	914338	909896	914175	2	1	0	1
at_Copia_i0025	intact_LTR_RT	Copia	Copia	2	926131	929956	-	926131	926329	929759	929956	926330	929758	2	1	0	1
at_Copia_i0026	intact_LTR_RT	Copia	Copia	2	1388832	1393901	-	1388832	1389013	1393720	1393901	1389014	1393719	2	1	0	1
at_unknown_i0005	intact_LTR_RT	unknown	unknown	2	1395260	1399516	+	1395260	1395421	1399355	1399516	1395422	1399354	2	1	0	1
at_Copia_i0027	intact_LTR_RT	Copia	Copia	2	1906864	1912112	-	1906864	1907372	1911604	1912112	1907373	1911603	2	1	0	1
at_Gypsy_i0016	intact_LTR_RT	Gypsy	Gypsy	2	2075308	2080607	-	2075308	2075631	2080284	2080607	2075632	2080283	2	1	0	1
at_Gypsy_i0017	intact_LTR_RT	Gypsy	Gypsy	2	2793407	2799747	+	2793407	2794166	2798987	2799747	2794167	2798986	2	1	0	1
at_Copia_i0028	intact_LTR_RT	Copia	Copia	2	2902330	2907117	+	2902330	2902486	2906961	2907117	2902487	2906960	2	1	0	1
at_Copia_i0029	intact_LTR_RT	Copia	Copia	2	3687124	3692178	-	3687124	3687516	3691778	3692178	3687517	3691777	2	1	0	1
at_2:3752539..3763187_i0001	intact_LTR_RT	2:3752539..3763187	Gypsy	2	3752539	3763187	-	3752539	3753025	3762694	3763187	3753026	3762693	2	1	0	1
at_Gypsy_i0018	intact_LTR_RT	Gypsy	Gypsy	2	3873692	3888488	-	3873692	3874433	3887747	3888488	3874434	3887746	2	1	0	1
at_Copia_i0030	intact_LTR_RT	Copia	Copia	2	4061046	4065458	+	4061046	4061537	4064967	4065458	4061538	4064966	2	1	0	1
at_Gypsy_i0019	intact_LTR_RT	Gypsy	Gypsy	2	4186081	4194762	-	4186081	4187721	4193133	4194762	4187722	4193132	2	1	0	1
at_Gypsy_i0020	intact_LTR_RT	Gypsy	Gypsy	2	4197160	4211222	-	4197160	4198837	4209556	4211222	4198838	4209555	2	1	0	1
at_unknown_i0006	intact_LTR_RT	unknown	unknown	2	4221455	4227718	+	4221455	4222275	4226897	4227718	4222276	4226896	2	1	0	1
at_Copia_i0031	intact_LTR_RT	Copia	Copia	2	4230743	4236512	+	4230743	4231508	4235748	4236512	4231509	4235747	2	1	0	1
at_Gypsy_i0021	intact_LTR_RT	Gypsy	Gypsy	2	4236658	4244396	+	4236658	4238004	4243051	4244396	4238005	4243050	2	1	0	1
at_Gypsy_i0022	intact_LTR_RT	Gypsy	Gypsy	2	4709690	4716011	+	4709690	4710896	4714828	4716011	4710897	4714827	2	1	0	1
at_unknown_i0007	intact_LTR_RT	unknown	unknown	2	4799641	4802568	+	4799641	4800022	4802208	4802568	4800023	4802207	2	1	0	1
at_Copia_i0032	intact_LTR_RT	Copia	Copia	2	5062484	5067403	-	5062484	5062594	5067283	5067403	5062595	5067282	2	1	0	1
at_Copia_i0033	intact_LTR_RT	Copia	Copia	2	5073847	5078418	+	5073847	5074355	5077910	5078418	5074356	5077909	2	1	0	1
at_Copia_i0034	intact_LTR_RT	Copia	Copia	2	5394710	5399649	+	5394710	5395032	5399327	5399649	5395033	5399326	2	1	0	1
at_unknown_i0008	intact_LTR_RT	unknown	unknown	2	5491268	5496081	+	5491268	5492425	5494900	5496081	5492426	5494899	2	1	0	1
